Front,Back,Tags
"True or false: because Symfony is MIT-licensed, you must open-source any application you build on it.","False<br><br>False. MIT is permissive, not copyleft (unlike the GPL). You may ship Symfony inside closed-source, proprietary products without releasing your own source; the only condition is retaining the copyright/permission notice.",architecture
"A startup ships a closed-source SaaS built on Symfony and wants to market it as ""SymfonyCloud"". Which part is a problem?","The closed-source SaaS is fine under MIT, but naming it ""SymfonyCloud"" risks trademark infringement<br><br>MIT permits commercial, closed-source use, so building the SaaS is fine. But the code license says nothing about names/logos: using \&quot;Symfony\&quot; in a product name is governed by Symfony SAS&#x27;s trademark policy, so \&quot;SymfonyCloud\&quot; is the risky part. You may say \&quot;built with Symfony\&quot; but not brand as Symfony.",architecture
What best describes a Symfony component?,"A standalone, reusable PHP library shipped as its own Composer package<br><br>Components are decoupled libraries, each independently versioned and usable without the full framework.",architecture
What do the symfony/*-contracts packages contain?,Stable interfaces and traits to depend on<br><br>Contracts packages hold interface-only definitions so consumers can depend on a stable API decoupled from a concrete implementation.,architecture
Can symfony/routing be used without FrameworkBundle?,Yes — it is a standalone component<br><br>Components are decoupled; Routing can be installed and used on its own via UrlMatcher/UrlGenerator without the framework.,architecture
Which mapping of term to definition is entirely correct?,"Contract = interfaces/traits; Component = standalone library; Bridge = glue to a third-party lib; Bundle = framework wiring<br><br>The four layers are distinct: contracts (e.g. symfony/service-contracts) ship only interfaces/traits; components (e.g. symfony/routing) are standalone implementations; bridges (e.g. symfony/twig-bridge) glue a component to one specific third-party library; bundles (e.g. symfony/framework-bundle) wire things into the framework with services and config. Confusing bridge with bundle, or contract with component, is the classic exam trap.",architecture
"Using only the Routing component standalone, what does $matcher->match('/hello/sf') return for a route defined as new Route('/hello/{name}') named 'hello'?","['_route' => 'hello', 'name' => 'sf']<br><br>UrlMatcher::match() returns an array of the matched route&#x27;s parameters, including the special _route key with the route name and any placeholder values. No framework or kernel is involved — the component works standalone with a RouteCollection and a RequestContext. It returns parameters, never a Response (that is the framework&#x27;s job).",architecture
"For a modern application, how should you depend on Symfony code?",Require the individual packages you need (e.g. symfony/routing); the symfony/symfony metapackage is discouraged<br><br>You should require only the individual component/bundle packages you use so the dependency graph stays minimal and each package versions independently. The old symfony/symfony monolithic metapackage is discouraged. Type-hinting contracts/interfaces further decouples you from concrete implementations.,architecture
What is a Symfony bridge?,"An integration layer between a component and a specific third-party library<br><br>A bridge holds the glue coupling a Symfony component to one specific external library, keeping the component itself dependency-free.",architecture
Where do bridges live in the Symfony monorepo?,"src/Symfony/Bridge/<br><br>Bridges have their own top-level directory, distinct from Component and Bundle.",architecture
What typically activates a bridge inside a framework application?,A bundle that registers the bridge's classes as services<br><br>Bridges provide classes; a bundle wires them into the container and exposes configuration.,architecture
Which statement distinguishes a bridge from a bundle correctly?,A bridge is a glue library (classes) coupling a component to one third-party lib; a bundle registers services and config in the framework<br><br>A bridge is just a Composer library of adapter/glue classes that depends on a component plus one specific external library; it does not wire itself into any app. A bundle is the framework-integration layer that registers those classes as services and exposes configuration. Expecting a bridge to configure itself is the trap — that is a bundle&#x27;s job.,architecture
Why is the external library an optional dependency of the component but a required dependency of the bridge?,"Keeping it optional on the component preserves the component's minimal, reusable dependency graph; the bridge exists precisely to depend on that library, so it requires it<br><br>A component must stay usable by everyone, so it must not hard-require any particular third-party library — that coupling is pushed into a separate bridge package. The bridge&#x27;s whole reason to exist is to integrate that specific library, so it declares it as a required dependency. This keeps the component&#x27;s graph minimal and the integration independently versioned.",architecture
Which directory is the web root of a Symfony application?,public/<br><br>public/ contains index.php and static assets and is the only web-accessible directory.,architecture
Where are bundles enabled in a modern Symfony app?,config/bundles.php<br><br>config/bundles.php maps each bundle class to the environments where it is enabled; the kernel reads it via MicroKernelTrait.,architecture
What supplies registerBundles() and registerContainerConfiguration() in a skeleton Kernel?,"MicroKernelTrait<br><br>App\\Kernel uses MicroKernelTrait, which implements the boilerplate to load bundles from config/bundles.php and configuration from config/.",architecture
"In config/bundles.php an entry reads `WebProfilerBundle::class => ['dev' => true, 'test' => true]`. What does this mean?","The bundle is enabled only in the dev and test environments, not in prod<br><br>config/bundles.php maps each bundle class to an array of environment =&gt; bool. The kernel enables the bundle only in the listed environments whose value is true. `[&#x27;all&#x27; =&gt; true]` means every environment; `[&#x27;dev&#x27; =&gt; true, &#x27;test&#x27; =&gt; true]` means dev and test only (typical for debugging/profiling bundles).",architecture
"In prod, why is public/index.php fast and free of YAML parsing on the hot path?","config/ is parsed at compile time into a dumped container in var/cache/<env>/; runtime only loads that compiled container<br><br>Configuration is compiled once into a dumped PHP container under var/cache/&lt;env&gt;/. In prod the kernel simply loads that compiled container, so no YAML parsing happens per request — that is why the front controller stays tiny and the hot path is fast. In dev, ConfigCache checks freshness and rebuilds when source config changes.",architecture
How does a modern (Symfony 8) bundle inherit and override another bundle's resources?,"It doesn't — bundle inheritance via getParent() was removed; you override each resource type individually<br><br>The getParent() bundle-inheritance mechanism was deprecated in 4.4 and removed in 5.0; it does not exist in Symfony 8. Modern apps override each resource type on its own (templates via templates/bundles/&lt;Name&gt;/, services via decoration/redefinition, config via config/packages/). Mentioning getParent() as a current mechanism is a planted trap.",architecture
What does the default `App\:` service definition with `resource: '../src/'` and `exclude: '../src/{Kernel.php}'` achieve?,"It auto-registers every class under src/ as a service (with autowire/autoconfigure defaults), excluding Kernel.php<br><br>The resource glob discovers classes under src/ and registers each as a service whose id is its FQCN, inheriting the _defaults (autowire: true, autoconfigure: true). exclude keeps non-service classes (like Kernel.php, entities, DTOs) out. Unused private services are then pruned by the compiler. It does not make them public.",architecture
"For a controller that returns a Response, in what order do the kernel events fire?","kernel.request -> kernel.controller -> kernel.controller_arguments -> kernel.response<br><br>kernel.view is skipped because a Response was returned; the remaining events follow the canonical order, then finish_request and terminate.",architecture
When is kernel.view dispatched?,"Only when the controller returns a value that is not a Response<br><br>If the controller returns a non-Response value, kernel.view listeners must convert it into a Response.",architecture
When is kernel.terminate dispatched?,"After the response has been sent to the client, for the main request<br><br>terminate() runs after send() and is not called for sub-requests; it is ideal for slow post-response work.",architecture
A listener calls setResponse() on kernel.request. What happens next?,The controller is skipped and flow continues at kernel.response<br><br>Setting a response on kernel.request short-circuits controller resolution; the response still passes through kernel.response.,architecture
What is the value of HttpKernelInterface::MAIN_REQUEST?,1 (and SUB_REQUEST is 2)<br><br>MAIN_REQUEST is 1 and SUB_REQUEST is 2; the old MASTER_REQUEST constant was removed.,architecture
What is the full firing order of the linear kernel events when a controller returns a non-Response value that a listener then converts?,"request → controller → controller_arguments → view → response → finish_request → (after send) terminate<br><br>The canonical order is request, controller, controller_arguments, view (only when a non-Response is returned), response, finish_request; then after the response is sent, terminate. kernel.exception is the eighth KernelEvents constant but fires out of band, only on error. controller_arguments runs AFTER argument resolution, and view sits between the controller call and response.",architecture
What are the respective jobs of ControllerResolverInterface and ArgumentResolverInterface?,"ControllerResolver reads the _controller attribute and returns a callable; ArgumentResolver builds the ordered argument array via value resolvers<br><br>ControllerResolverInterface::getController(Request) reads the _controller request attribute (set by the router) and returns a PHP callable. ArgumentResolverInterface::getArguments() then runs a chain of ValueResolverInterface resolvers (request attributes, the Request object, #[MapRequestPayload], services, variadics, defaults) to build the ordered argument list passed to the controller.",architecture
"Relative to argument resolution, when does kernel.controller_arguments fire?",After ArgumentResolver has built the argument array — listeners edit an already-resolved array via setArguments()<br><br>kernel.controller_arguments is dispatched AFTER ArgumentResolverInterface::getArguments() has produced the final ordered array; listeners receive a ControllerArgumentsEvent and may mutate the already-built array with setArguments(). Assuming it runs before resolution (to feed the resolver) is a common misconception.,architecture
A controller does its work but has no return statement (returns null) and no kernel.view listener handles it. What happens?,"The kernel dispatches kernel.view; since no response is set, it throws ControllerDoesNotReturnResponseException<br><br>After the controller runs, handleRaw() checks whether the return value is a Response; if not, it dispatches kernel.view carrying the value. If no listener calls setResponse(), the kernel throws ControllerDoesNotReturnResponseException (a LogicException) with the familiar \&quot;The controller must return a Response object but it returned null\&quot; message. The fix is to return a real Response or register a view listener.",architecture
Which statement about sub-requests is correct?,"They run the same request→...→finish_request flow but never fire kernel.terminate; RequestStack push/pop restores parent state<br><br>A sub-request (HttpKernelInterface::SUB_REQUEST) runs the full linear flow from kernel.request through kernel.response and kernel.finish_request, but kernel.terminate fires only for the main request after send. handleRaw() pushes the sub-request onto the RequestStack before kernel.request and pops it after kernel.finish_request, restoring the parent request/locale.",architecture
What is the signature of HttpKernelInterface::handle() and the role of its $catch argument?,"handle(Request $request, int $type = self::MAIN_REQUEST, bool $catch = true): Response — with $catch=true, exceptions are caught and turned into a response via kernel.exception; with $catch=false they propagate<br><br>The contract is handle(Request, int $type = MAIN_REQUEST, bool $catch = true): Response. handle() wraps the private handleRaw() in a try/catch when $catch is true, so an escaped exception is routed through handleThrowable()/kernel.exception into a Response. With $catch=false (common in sub-requests and tests) the exception simply propagates to the caller.",architecture
"A listener is annotated #[AsEventListener(event: KernelEvents::RESPONSE, priority: -10)] and sets an X-Frame-Options header. When does it run?","On every response passing through kernel.response, after listeners with higher priority (since -10 is below the default 0)<br><br>kernel.response fires for every response (whether from the controller, a view listener, or a short-circuit). Listeners run high priority first; priority -10 is below the default 0, so this header listener runs relatively late. The #[AsEventListener] attribute is wired by RegisterListenersPass at compile time, replacing manual tagging.",architecture
Which event is responsible for turning an exception into a response?,"kernel.exception<br><br>When an exception escapes handleRaw(), HttpKernel dispatches kernel.exception; listeners may set the response.",architecture
What status code results from an uncaught plain \LogicException?,500<br><br>Only exceptions implementing HttpExceptionInterface carry a status; any other exception defaults to 500.,architecture
At what priority is the default ErrorListener registered on kernel.exception?,"-128, so custom listeners run first<br><br>ErrorListener runs at a low priority (-128) so your own exception listeners get the first chance to handle the throwable.",architecture
Where do you override the default 404 error template?,"templates/bundles/TwigBundle/Exception/error404.html.twig<br><br>TwigBundle resolves error templates from templates/bundles/TwigBundle/Exception/, falling back to error.html.twig.",architecture
What does the default ErrorListener actually do when it handles a kernel.exception?,"It logs the exception, forwards to the error controller as a sub-request, and sets the resulting Response on the event<br><br>ErrorListener (priority -128) logs the throwable, forwards to the error_controller (ErrorController) as a sub-request whose response carries the status/headers from HttpExceptionInterface, and sets that response on the ExceptionEvent. Because it runs last, any higher-priority listener that already set a response wins and ErrorListener does nothing.",architecture
How do Security's AccessDeniedException and HttpKernel's AccessDeniedHttpException differ?,AccessDeniedHttpException implements HttpExceptionInterface (→ 403 directly); AccessDeniedException is a Security exception the firewall translates to 403 or a redirect to login<br><br>They are different classes. Symfony\\Component\\HttpKernel\\Exception\\AccessDeniedHttpException implements HttpExceptionInterface and yields a 403 through the normal error flow. Symfony\\Component\\Security\\Core\\Exception\\AccessDeniedException is a Security exception that does NOT implement HttpExceptionInterface; the firewall&#x27;s exception listener catches it and turns it into a 403 (or a redirect to the login page for unauthenticated users).,architecture
"A kernel.exception listener inspects getThrowable() and builds a JsonResponse, but the custom page never appears. What is the most likely bug?","The listener forgot to call $event->setResponse() on its branch, so the event's response stays null and the default handler wins<br><br>ExceptionEvent::getResponse() returns null until some listener calls setResponse(). Reading getThrowable() and constructing a response is not enough — you must actually set it on the event. If a branch forgets setResponse(), the response stays null, ErrorListener&#x27;s default page (or a 500) is used instead, and your custom page never shows.",architecture
"After kernel.exception is dispatched, what does the kernel do if no listener set a response?","handleThrowable() sees hasResponse() is false and re-throws the original throwable (which surfaces as a 500 when catch is true)<br><br>If ExceptionEvent has no response after dispatch, handleThrowable() re-throws the original exception. In practice ErrorListener (priority -128) fills the gap, so this null case only bites when you replace or disable it. With catch:true the re-thrown error becomes a 500 to the client.",architecture
Which built-in exception produces a 404 response?,"NotFoundHttpException<br><br>NotFoundHttpException maps to 404. AccessDeniedHttpException maps to 403 and BadRequestHttpException to 400. All implement HttpExceptionInterface, so their status code and headers flow through to the produced response; a generic HttpException takes any status code from its constructor.",architecture
What does a higher listener priority mean?,"It runs earlier<br><br>Listeners are sorted by priority in descending order, so higher priorities run first; the default priority is 0.",architecture
What is the dispatch() signature in Symfony 8 (PSR-14)?,"dispatch(object $event, ?string $eventName = null)<br><br>Symfony follows PSR-14: the event object comes first, the name is optional (defaults to the event&#x27;s class name).",architecture
Which method must an event subscriber implement?,public static function getSubscribedEvents(): array<br><br>EventSubscriberInterface defines the static getSubscribedEvents() method returning event names mapped to handlers.,architecture
What does $event->stopPropagation() do?,Prevents the remaining listeners of this event from running<br><br>It sets a flag the dispatcher checks before each listener; only the current event&#x27;s remaining listeners are skipped.,architecture
How does EventDispatcher store and order listeners internally?,"It keeps listeners[eventName][priority][] and sorts by priority descending on first dispatch, memoising the sorted list until a listener is added/removed<br><br>Internally the dispatcher stores listeners keyed by event name then priority. On the first dispatch of an event it sorts by priority descending (higher first; equal priorities preserve registration order) and caches the result in a sorted[] map, invalidated only when listeners change. This memoisation keeps repeated dispatches cheap.",architecture
How are tagged listeners/subscribers and #[AsEventListener] attributes wired into the dispatcher?,"RegisterListenersPass wires them at container compile time, and listener services are instantiated lazily only when their event fires<br><br>The RegisterListenersPass compiler pass scans services tagged kernel.event_listener/kernel.event_subscriber and #[AsEventListener] attributes and wires them into the dispatcher at compile time. Listeners are registered lazily — the service is only constructed when its event actually fires — which keeps boot cheap. You rarely call addListener() at runtime.",architecture
Which are valid return values from getSubscribedEvents() for a single event? (choose all that apply),"[KernelEvents::RESPONSE => 'onResponse'] ; [KernelEvents::RESPONSE => ['onResponse', -10]] ; [KernelEvents::RESPONSE => [['onFirst', 10], ['onSecond', -10]]]<br><br>getSubscribedEvents() maps event NAMES to handlers. The value may be a method name string, a [method, priority] pair, or a list of such pairs to register several handlers for the same event. Mapping method → event name (reversed) is wrong and a frequent mistake.",architecture
"What does dispatch(object $event) return, and how do you read a listener's result?","It always returns the same event object you passed in; results reach you only by listeners mutating that event (e.g. setResponse), never as a listener return value<br><br>dispatch() returns the exact event object passed in — even with no listeners, or when all left it untouched. Listeners themselves return void; the only way data flows back is by mutating the event, which you then read from the returned object. Expecting dispatch() to hand back a listener&#x27;s return value is the classic bug.",architecture
Two listeners for the same event both use the default priority. In what order do they run?,"In registration order — the default priority is 0 and equal priorities preserve the order they were added<br><br>The default priority is 0. Listeners are sorted by priority descending, and ties (equal priority) keep their registration order. So two default-priority listeners run first-registered-first. To force an order, set explicit priorities rather than relying on registration order.",architecture
What is the key difference between a listener and a subscriber?,A listener is registered against one event; a subscriber declares all the events it handles in getSubscribedEvents()<br><br>A listener is a callable attached to a single event name (via #[AsEventListener] or the kernel.event_listener tag). A subscriber implements EventSubscriberInterface and declares all its events (and priorities) in the static getSubscribedEvents() method — handy when one class handles several related events. Both are wired by RegisterListenersPass.,architecture
Where should business logic live according to the best practices?,"In autowired services<br><br>Controllers should be thin and delegate to services, which keeps logic reusable and testable.",architecture
What visibility should application services have by default?,"Private<br><br>Private services let the DI compiler inline and remove them, and discourage the service-locator anti-pattern.",architecture
Where do sensitive credentials belong?,"The Secrets vault<br><br>Secrets should be stored in the encrypted Secrets vault, while infrastructure config uses env vars and behaviour uses parameters.",architecture
"What does this services.yaml _defaults block enable: autowire: true, autoconfigure: true, public: false?","Constructor deps are injected by type, services are auto-tagged by the interfaces they implement, and services are private by default<br><br>autowire resolves constructor arguments by type-hint; autoconfigure auto-tags services based on implemented interfaces/attributes (e.g. subscribers get kernel.event_subscriber); public: false keeps them private so the compiler can inline/prune them and you inject rather than fetch. This is the idiomatic Symfony 8 default.",architecture
"Where should each belong: a database URL, a feature toggle, and a third-party API private key?","Database URL → env var; feature toggle → parameter (or env var if it varies per env); API private key → Secrets vault<br><br>Infrastructure config that varies per environment (database URL) goes in env vars; application behaviour (feature toggle) goes in parameters, or an env var if it changes per environment; sensitive credentials (API private key) go in the encrypted Secrets vault — never committed as plain config.",architecture
"Why is making application services public ""to be safe"" discouraged?","Public services block the DI compiler from inlining/removing them and invite the service-locator anti-pattern; private + injected is preferred<br><br>Marking services public prevents the compiler from optimising them away or inlining them, and encourages fetching from the container (service location) instead of dependency injection. The best practice is private, autowired services injected via the constructor. Public visibility is only needed in a few edge cases (e.g. legacy get() calls).",architecture
How often does a new Symfony minor version ship?,"Every six months, in May and November<br><br>Symfony uses a fixed time-based cadence: a minor every May and November, a major every two years.",architecture
Which Symfony 8.x version is the LTS?,8.4<br><br>The last minor of each major (X.4) is the LTS; it ships alongside the next major (9.0).,architecture
What may a MINOR release NOT do?,Break backward compatibility<br><br>Minors add features and deprecations but never break BC; breaks are reserved for major releases.,architecture
What are the maintenance windows for a standard (non-LTS) release?,8 months of bug fixes and 14 months of security fixes<br><br>Standard versions get 8 months bug fixes and 14 months security fixes; LTS versions get 3 years and 4 years respectively.,architecture
How are bug fixes propagated across Symfony's maintained branches?,"Fixes are merged UP from the oldest maintained branch to newer ones, so a patch to 8.0 also lands in 8.1, 8.2, etc.<br><br>Symfony uses a merge-up model: a fix is committed to the lowest maintained branch that needs it and then merged upward into every newer branch. This keeps behaviour consistent across all maintained versions and avoids a fix being present in an old branch but missing in a newer one.",architecture
What is the difference between a PATCH and a MINOR release?,"A patch (8.0.1 → 8.0.2) contains bug fixes only; a minor (8.0 → 8.1) adds new features and deprecations but is still BC-safe<br><br>Patch releases carry bug fixes only — no new features, no deprecations, no BC breaks. Minor releases add features and may introduce deprecations, but never break BC. Only majors break BC (by removing previously deprecated code). Confusing patch (bugs only) with minor (features) is a common trap.",architecture
What is a MAJOR release uniquely allowed to do?,"Remove deprecated code and break backward compatibility (only for APIs deprecated in the previous major line)<br><br>A major (e.g. 8.x → 9.0) is the only release level permitted to break BC, and only for code that was deprecated during the previous major line. This is what lets you upgrade safely within a major and plan the jump across a major once you have cleared deprecations.",architecture
When may Symfony break backward compatibility?,"Only in a major release, and only after prior deprecation<br><br>BC breaks are reserved for majors and require the affected API to have been deprecated in the previous major line.",architecture
What does the @internal marker mean for the BC promise?,"The element is excluded from the BC promise and may change at any time<br><br>@internal marks implementation details not covered by BC, even if they are PHP-public.",architecture
How should you customise a final Symfony class in a BC-safe way?,Decorate or compose it<br><br>final classes must not be subclassed; wrap them via decoration so Symfony can change internals without breaking you.,architecture
Is @experimental code covered by the BC promise?,"No — experimental features (often whole components in their first release) are explicitly excluded until marked stable<br><br>@experimental features are excluded from the BC promise until they are stabilised; they may change in any release. Building critical paths on experimental code is risky. Along with @internal and final, @experimental is one of the markers that carve exceptions out of the promise.",architecture
Symfony adds a new method to one of its own interfaces in a minor release. Is this a BC break?,"Not for code that only USES the interface, but it can break code that IMPLEMENTS it — so only implement interfaces Symfony marks as safe to implement<br><br>The promise is written from two viewpoints. For USING code (calling methods, reading returns) adding a method is safe. For EXTENDING code (your class implementing that interface) a new method is a break, because your class no longer satisfies the contract. Symfony reserves the right to add methods to its interfaces, so you should only implement interfaces meant for implementation.",architecture
Which of the following are covered by the BC promise? (choose all that apply),"A public method with no special annotation ; The stable public constructor of a non-final, non-internal class<br><br>Stable public API without @internal/@experimental is covered — regardless of being a method or constructor. @internal is excluded even though PHP-public, and @experimental is excluded until stabilised. The classic misconception is equating PHP `public` with \&quot;covered\&quot;; @internal overrides that.",architecture
True or false: a method declared public in PHP but annotated @internal is protected by the BC promise.,"False<br><br>False. @internal explicitly removes an element from the BC promise even when it is PHP-public. Such methods/classes can change or disappear in any release, so you must not depend on them. PHP visibility and BC coverage are independent.",architecture
"Which function emits a Symfony deprecation notice, and from which package?","trigger_deprecation() from symfony/deprecation-contracts<br><br>symfony/deprecation-contracts provides trigger_deprecation($package, $version, $message, ...$args), which formats an E_USER_DEPRECATED notice.",architecture
When is deprecated code actually removed?,"In the next major release<br><br>Deprecations survive the whole major line and are only removed in the next major, per the BC promise.",architecture
Which tool lets you fail the test suite when new deprecations appear?,symfony/phpunit-bridge configured via SYMFONY_DEPRECATIONS_HELPER<br><br>The PHPUnit bridge collects deprecations; SYMFONY_DEPRECATIONS_HELPER (e.g. max[total]=0) can make the suite fail on any deprecation.,architecture
What is the argument order of trigger_deprecation()?,"package, version, message, ...args<br><br>The signature is trigger_deprecation(string $package, string $version, string $message, mixed ...$args) with sprintf-style formatting.",architecture
Which call correctly deprecates ReportBuilder::generate() (deprecated in your app version 8.1)?,"trigger_deprecation('app/reports', '8.1', 'Using ""%s::generate()"" is deprecated, use ""build()"".', self::class);<br><br>The signature is (package, version, message, ...args) with sprintf-style formatting for the message. The first option passes the package, the version it was deprecated IN, a message with a %s placeholder, and self::class as the arg. Putting the message first, or misusing trigger_error with these arguments, is wrong.",architecture
How do you mark a service as deprecated in config/services.yaml?,"Add a `deprecated:` key with package, version and message under the service definition<br><br>A service is deprecated via the `deprecated:` key (package/version/message), which maps to Definition::setDeprecated() and triggers a deprecation when the service is referenced. Container-level deprecations like this surface during cache:clear/compile time, whereas method-call deprecations fire at runtime.",architecture
"At what error level are Symfony deprecations emitted, and do they throw?","They are E_USER_DEPRECATED notices — they do not throw unless your test suite/CI is configured to fail on them<br><br>trigger_deprecation() ultimately calls @trigger_error(..., E_USER_DEPRECATED), producing a notice that is logged/collected but does not interrupt execution. Only when tooling (e.g. the PHPUnit bridge via SYMFONY_DEPRECATIONS_HELPER) is configured to fail on deprecations does a deprecation cause a failure.",architecture
Which version string should you pass as the second argument of trigger_deprecation()?,"The version in which the API was DEPRECATED (e.g. '8.1'), not the current running version<br><br>The version argument records when the deprecation was introduced, producing the \&quot;Since &lt;package&gt; &lt;version&gt;: &lt;message&gt;\&quot; format tooling parses. A common mistake is passing the current version, or the removal version — both are wrong. Use the version the API was deprecated in.",architecture
Where do you place a template that overrides a bundle template?,"templates/bundles/<BundleName>/path.html.twig<br><br>Twig resolves overrides from templates/bundles/&lt;BundleName&gt;/, which takes precedence over the bundle&#x27;s own templates.",architecture
What is the current mechanism to override an inherited bundle resource?,"Per-resource overriding of templates, services, translations and config<br><br>Bundle inheritance via getParent() was deprecated in 4.4 and removed in 5.0; modern Symfony overrides each resource type individually.",architecture
How do you augment a bundle service without replacing it?,"Decorate it with #[AsDecorator] / the decorates: key<br><br>Decoration wraps the original service (injected as .inner), letting you add behaviour and delegate.",architecture
"When you decorate a service with #[AsDecorator(decorates: 'acme.mailer')], how do you access the original?",Inject the renamed original (the .inner service) via #[AutowireDecorated] and delegate to it<br><br>Decoration renames the original service to a .inner id and injects it into the decorator. The #[AutowireDecorated] attribute (or the special .inner reference in YAML) gives you that original instance so you can add behaviour and delegate. Re-creating it with `new` or fetching it publicly defeats the decoration pattern.,architecture
A bundle ships translations/messages.en.yaml and your app defines the same domain/locale in translations/. Whose strings win?,The application's translations/ take priority over the bundle's translations<br><br>The application&#x27;s translations/ directory has higher priority than any bundle&#x27;s translations. Providing a catalogue with the same domain and locale overrides the bundle&#x27;s strings — the same convention-based precedence used for template overrides.,architecture
What happened to bundle inheritance (getParent()) and the legacy Resources/ folder?,"getParent() inheritance was deprecated in 4.4 and removed in 5.0; modern bundles use top-level config/, templates/, translations/ instead of Resources/<br><br>Bundle inheritance via getParent() is gone (deprecated 4.4, removed 5.0) and must not be presented as current. Modern bundles also drop the legacy Resources/ layout in favour of top-level config/, templates/ and translations/. Overriding is done per resource type instead.",architecture
In which months do Symfony minor releases ship?,May and November<br><br>The cadence is fixed: a new minor every May and every November.,architecture
When does 8.4 (LTS) release relative to 9.0?,At the same time (both November 2027)<br><br>The LTS (X.4) always ships together with the next major (X+1).0.,architecture
How often is a new major (and its LTS) released?,"Every two years<br><br>Majors, and the accompanying LTS, come every two years.",architecture
Which sequence correctly lists the Symfony 8.x release dates?,"8.0 Nov 2025, 8.1 May 2026, 8.2 Nov 2026, 8.3 May 2027, 8.4 LTS Nov 2027<br><br>8.0 opened the cycle in Nov 2025; a minor lands every six months (May/Nov): 8.1 May 2026, 8.2 Nov 2026, 8.3 May 2027, and 8.4 (LTS) Nov 2027 alongside 9.0. The pattern repeats for every major: X.0 opens, four minors follow, X.4 is the LTS shipping with (X+1).0.",architecture
Which statement about the LTS timing is correct?,"The LTS (X.4) ships at the same time as the next major (X+1).0, not before it<br><br>A frequent misconception is that the LTS precedes the next major. In fact X.4 (the LTS) and (X+1).0 release together (8.4 and 9.0 both Nov 2027). Another trap: 8.0 is a standard release, not the LTS — 8.4 is.",architecture
A product must run 3+ years without a major upgrade. Which 8.x version should you target and why?,"8.4 (LTS) — it provides 3 years of bug fixes and 4 years of security fixes, the longest support window in 8.x<br><br>Only the LTS (X.4) offers the long maintenance windows (3 years bug fixes, 4 years security fixes). Standard minors get 8 months bug + 14 months security, far short of 3 years. So a long-lived product should pin to 8.4 and plan the jump to the next major deliberately.",architecture
Which PSR does Symfony's EventDispatcher implement?,PSR-14 (Event Dispatcher)<br><br>Symfony&#x27;s EventDispatcherInterface extends the PSR-14 Psr\\EventDispatcher\\EventDispatcherInterface.,architecture
Is HttpFoundation's Request a PSR-7 message?,No — a psr-http-message bridge converts between them<br><br>HttpFoundation predates and differs from PSR-7; the psr-http-message bridge converts between HttpFoundation and PSR-7/15/17.,architecture
Which PSR interface does Symfony's service container implement?,PSR-11 (Container)<br><br>Symfony&#x27;s ContainerInterface extends Psr\\Container\\ContainerInterface (PSR-11).,architecture
Which PSR does Symfony primarily consume (rather than implement) so you can inject any implementation?,"PSR-3 (Logger) via Psr\Log\LoggerInterface<br><br>Components type-hint Psr\\Log\\LoggerInterface (PSR-3), so any compliant logger can be injected. PSR-11, PSR-14, PSR-6 and PSR-20 are implemented by Symfony.",architecture
